month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2024/10/01 04:00:00+00,Weekday,23,The RIDE,93196,4052,267
2024/10/01 04:00:00+00,Saturday,5,Blue Line,193292,38658,268
2024/10/01 04:00:00+00,Saturday,5,Orange Line,291026,58205,269
2024/10/01 04:00:00+00,Saturday,5,Red Line,493730,98746,270
2024/10/01 04:00:00+00,Saturday,5,Heavy Rail,978047,195609,271
2024/10/01 04:00:00+00,Saturday,5,Green Line,498177,99635,272
2024/10/01 04:00:00+00,Saturday,5,Mattapan Line,9873,1975,273
2024/10/01 04:00:00+00,Saturday,5,Light Rail,508050,101610,274
2024/10/01 04:00:00+00,Saturday,5,Silver Line,120068,24014,275
2024/10/01 04:00:00+00,Saturday,5,Bus,841554,168311,276
2024/10/01 04:00:00+00,Saturday,5,All Bus,961622,192324,277
2024/10/01 04:00:00+00,Saturday,4,Commuter Rail,204437,51109,278
2024/10/01 04:00:00+00,Saturday,4,Ferry,9767,2442,279
2024/10/01 04:00:00+00,Saturday,4,The RIDE,8668,2167,280
2024/10/01 04:00:00+00,Sunday,4,Blue Line,119098,29774,281
2024/10/01 04:00:00+00,Sunday,4,Orange Line,174784,43696,282
2024/10/01 04:00:00+00,Sunday,4,Red Line,305843,76461,283
2024/10/01 04:00:00+00,Sunday,4,Heavy Rail,599724,149931,284
2024/10/01 04:00:00+00,Sunday,4,Green Line,301036,75259,285
2024/10/01 04:00:00+00,Sunday,4,Mattapan Line,5287,1322,286
2024/10/01 04:00:00+00,Sunday,4,Light Rail,306322,76580,287
2024/10/01 04:00:00+00,Sunday,4,Silver Line,78904,19726,288
2024/10/01 04:00:00+00,Sunday,4,Bus,450417,112604,289
2024/10/01 04:00:00+00,Sunday,4,All Bus,529321,132330,290
2024/10/01 04:00:00+00,Sunday,4,Commuter Rail,155985,38996,291
2024/10/01 04:00:00+00,Sunday,4,Ferry,5329,1332,292
2024/10/01 04:00:00+00,Sunday,4,The RIDE,7696,1924,293
2024/10/01 04:00:00+00,Total,31,Blue Line,1409271,45460,294
2024/10/01 04:00:00+00,Total,31,Orange Line,2865839,92446,295
2024/10/01 04:00:00+00,Total,31,Red Line,3998181,128974,296
2024/10/01 04:00:00+00,Total,31,Heavy Rail,8273290,266880,297
2024/10/01 04:00:00+00,Total,31,Green Line,3350811,108091,298
2024/10/01 04:00:00+00,Total,31,Mattapan Line,97088,3132,299
2024/10/01 04:00:00+00,Total,31,Light Rail,3447899,111223,300
2024/06/01 04:00:00+00,Sunday,5,The RIDE,8525,1705,301
2024/06/01 04:00:00+00,Total,30,Blue Line,1344839,44828,302
2024/06/01 04:00:00+00,Total,30,Orange Line,2191606,73054,303
2024/06/01 04:00:00+00,Total,30,Red Line,3117752,103925,304
2024/06/01 04:00:00+00,Total,30,Heavy Rail,6654197,221807,305
2024/06/01 04:00:00+00,Total,30,Green Line,2582965,86099,306
2024/06/01 04:00:00+00,Total,30,Mattapan Line,79700,2657,307
2024/06/01 04:00:00+00,Total,30,Light Rail,2662665,88756,308
2024/06/01 04:00:00+00,Total,30,Silver Line,854396,28480,309
2024/06/01 04:00:00+00,Total,30,Bus,6754687,225156,310
2024/06/01 04:00:00+00,Total,30,All Bus,7609083,253636,311
2024/06/01 04:00:00+00,Total,30,Commuter Rail,2573753,85792,312
2024/06/01 04:00:00+00,Total,30,Ferry,160933,5364,313
2024/06/01 04:00:00+00,Total,30,The RIDE,93384,3113,314
2024/05/01 04:00:00+00,Weekday,22,Blue Line,1072946,48770,315
2024/05/01 04:00:00+00,Weekday,22,Orange Line,2156313,98014,316
2024/05/01 04:00:00+00,Weekday,22,Red Line,2544884,115677,317
2024/05/01 04:00:00+00,Weekday,22,Heavy Rail,5774143,262461,318
2024/05/01 04:00:00+00,Weekday,22,Green Line,1994557,90662,319
2024/05/01 04:00:00+00,Weekday,22,Mattapan Line,67393,3063,320
2024/05/01 04:00:00+00,Weekday,22,Light Rail,2061950,93725,321
2024/05/01 04:00:00+00,Weekday,22,Silver Line,707628,32165,322
2024/05/01 04:00:00+00,Weekday,22,Bus,6210738,282306,323
2024/05/01 04:00:00+00,Weekday,22,All Bus,6918366,314471,324
2024/05/01 04:00:00+00,Weekday,22,Commuter Rail,2405463,109339,325
2024/05/01 04:00:00+00,Weekday,22,Ferry,110043,5002,326
2024/05/01 04:00:00+00,Weekday,22,The RIDE,86894,3950,327
2024/05/01 04:00:00+00,Saturday,4,Blue Line,151993,37998,328
2024/05/01 04:00:00+00,Saturday,4,Orange Line,258169,64542,329
2024/05/01 04:00:00+00,Saturday,4,Red Line,281547,70387,330
2024/05/01 04:00:00+00,Saturday,4,Heavy Rail,691708,172927,331
2024/05/01 04:00:00+00,Saturday,4,Green Line,310605,77651,332
2024/05/01 04:00:00+00,Saturday,4,Mattapan Line,5745,1436,333
2024/05/01 04:00:00+00,Saturday,4,Light Rail,316350,79088,334
2024/05/01 04:00:00+00,Saturday,4,Silver Line,82152,20538,335
2024/05/01 04:00:00+00,Saturday,4,Bus,648126,162032,336
2024/05/01 04:00:00+00,Saturday,4,All Bus,730278,182570,337
2024/05/01 04:00:00+00,Saturday,4,Commuter Rail,132269,33067,338
2024/05/01 04:00:00+00,Saturday,4,Ferry,7627,1907,339
2024/05/01 04:00:00+00,Saturday,4,The RIDE,7920,1980,340
2024/05/01 04:00:00+00,Sunday,4,Blue Line,118614,29654,341
2024/05/01 04:00:00+00,Sunday,4,Orange Line,192920,48230,342
2024/05/01 04:00:00+00,Sunday,4,Red Line,236515,59129,343
2024/05/01 04:00:00+00,Sunday,4,Heavy Rail,548049,137012,344
2024/05/01 04:00:00+00,Sunday,4,Green Line,246207,61552,345
2024/05/01 04:00:00+00,Sunday,4,Mattapan Line,4145,1036,346
2024/05/01 04:00:00+00,Sunday,4,Light Rail,250352,62588,347
2024/05/01 04:00:00+00,Sunday,4,Silver Line,74429,18607,348
2024/05/01 04:00:00+00,Sunday,4,Bus,435035,108759,349
2024/05/01 04:00:00+00,Sunday,4,All Bus,509464,127366,350
2024/09/01 04:00:00+00,Total,30,Mattapan Line,127781,4259,351
2024/09/01 04:00:00+00,Total,30,Light Rail,3204893,106830,352
2024/09/01 04:00:00+00,Total,30,Silver Line,840020,28001,353
2024/09/01 04:00:00+00,Total,30,Bus,7353516,245117,354
2024/09/01 04:00:00+00,Total,30,All Bus,8193536,273118,355
2024/09/01 04:00:00+00,Total,30,Commuter Rail,2608271,86942,356
2024/09/01 04:00:00+00,Total,30,Ferry,142024,4734,357
2024/09/01 04:00:00+00,Total,30,The RIDE,98681,3289,358
2024/08/01 04:00:00+00,Weekday,22,Blue Line,935975,42544,359
2024/08/01 04:00:00+00,Weekday,22,Orange Line,2300519,104569,360
2024/08/01 04:00:00+00,Weekday,22,Red Line,2377570,108071,361
2024/08/01 04:00:00+00,Weekday,22,Heavy Rail,5614064,255185,362
2024/08/01 04:00:00+00,Weekday,22,Green Line,2088929,94951,363
2024/08/01 04:00:00+00,Weekday,22,Mattapan Line,59255,2693,364
2024/08/01 04:00:00+00,Weekday,22,Light Rail,2148184,97645,365
2024/08/01 04:00:00+00,Weekday,22,Silver Line,683452,31066,366
2024/08/01 04:00:00+00,Weekday,22,Bus,5745304,261150,367
2024/08/01 04:00:00+00,Weekday,22,All Bus,6428756,292216,368
2024/08/01 04:00:00+00,Weekday,22,Commuter Rail,2314957,105225,369
2024/08/01 04:00:00+00,Weekday,22,Ferry,140866,6403,370
2024/08/01 04:00:00+00,Weekday,22,The RIDE,80894,3677,371
2024/08/01 04:00:00+00,Saturday,5,Blue Line,173764,34753,372
2024/08/01 04:00:00+00,Saturday,5,Orange Line,271699,54340,373
2024/08/01 04:00:00+00,Saturday,5,Red Line,359349,71870,374
2024/08/01 04:00:00+00,Saturday,5,Heavy Rail,804811,160962,375
2024/08/01 04:00:00+00,Saturday,5,Green Line,396710,79342,376
2024/08/01 04:00:00+00,Saturday,5,Mattapan Line,7747,1549,377
2024/08/01 04:00:00+00,Saturday,5,Light Rail,404457,80891,378
2024/08/01 04:00:00+00,Saturday,5,Silver Line,111156,22231,379
2024/08/01 04:00:00+00,Saturday,5,Bus,828248,165650,380
2024/08/01 04:00:00+00,Saturday,5,All Bus,939404,187881,381
2024/08/01 04:00:00+00,Saturday,5,Commuter Rail,205581,41116,382
2024/08/01 04:00:00+00,Saturday,5,Ferry,28018,5604,383
2024/08/01 04:00:00+00,Saturday,5,The RIDE,9640,1928,384
2024/08/01 04:00:00+00,Sunday,4,Blue Line,112286,28072,385
